file,code,name,unit,freq,agg
CO_Q,TK99F2059601GCQ01000,D.I./業況/大企業/_情報通信/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2059601GCQ11000,D.I./業況/大企業/_情報通信/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2050601GCQ01000,D.I./業況/大企業/__通信/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2050601GCQ11000,D.I./業況/大企業/__通信/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2051601GCQ01000,D.I./業況/大企業/__情報サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2051601GCQ11000,D.I./業況/大企業/__情報サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2052601GCQ01000,D.I./業況/大企業/__その他情報通信/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2052601GCQ11000,D.I./業況/大企業/__その他情報通信/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2060601GCQ01000,D.I./業況/大企業/_電気・ガス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2060601GCQ11000,D.I./業況/大企業/_電気・ガス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2081601GCQ01000,D.I./業況/大企業/_対事業所サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2081601GCQ11000,D.I./業況/大企業/_対事業所サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2082601GCQ01000,D.I./業況/大企業/_対個人サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2082601GCQ11000,D.I./業況/大企業/_対個人サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2100601GCQ01000,D.I./業況/大企業/_宿泊・飲食サービス/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2100601GCQ11000,D.I./業況/大企業/_宿泊・飲食サービス/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F2500601GCQ01000,D.I./業況/大企業/_鉱業・採石業・砂利採取業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F2500601GCQ11000,D.I./業況/大企業/_鉱業・採石業・砂利採取業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1140601GCQ01000,（更新停止）D.I./業況/大企業/_一般機械/実績（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F1140601GCQ11000,（更新停止）D.I./業況/大企業/_一般機械/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F1200601GCQ01000,（更新停止）D.I./業況/大企業/_精密機械/実績（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F1200601GCQ11000,（更新停止）D.I./業況/大企業/_精密機械/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2010601GCQ01000,（更新停止）D.I./業況/大企業/_建設・不動産/実績（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2010601GCQ11000,（更新停止）D.I./業況/大企業/_建設・不動産/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2080601GCQ01000,（更新停止）D.I./業況/大企業/_サービス/実績（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2080601GCQ11000,（更新停止）D.I./業況/大企業/_サービス/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F0000601GCQ02000,D.I./業況/中堅企業/全産業/実績,%ポイント,QUARTERLY,last
